Table,Sponsoring Institution,Sponsoring Institution Cleaned,SNHAF,City,City Cleaned,Specialty,Specialty Cleaned,Program Code,2025 Quota,2025 Matched,2024 Quota,2024 Matched,2023 Quota,2023 Matched,2022 Quota,2022 Matched,2021 Quota,2021 Matched,2020 Quota,2020 Matched
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Anesthesiology,Anesthesiology,1102040A0,8,8,0,0,0,0,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Anesthesiology,Anesthesiology,1102040R0,8,8,0,0,0,0,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Emergency Medicine,Emergency Medicine,1102110C0,8,8,8,8,7,7,6,6,6,6,6,6
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Winter Park,Family Medicine/Winter Park,Family Medicine,1102120C0,12,12,12,8,12,12,12,12,12,12,12,12
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Fam Med/East Orlando/Osteopathic,Family Medicine,1102120C1,8,8,8,8,8,8,8,8,8,8,8,8
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Sebring,Family Medicine/Sebring,Family Medicine,1102120C2,8,8,8,8,6,6,8,4,8,8,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Wesley Chapel,Family Medicine/Wesley Chapel,Family Medicine,1102120C3,8,8,8,8,0,0,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Ocala,Family Medicine/Ocala,Family Medicine,1102120C4,8,8,0,0,0,0,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Internal Medicine/Orlando,Internal Medicine,1102140C0,14,14,14,14,12,12,12,12,12,12,12,12
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Sebring,Internal Medicine/Sebring,Internal Medicine,1102140C1,15,15,8,8,8,8,8,8,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Tampa,Internal Medicine/Tampa,Internal Medicine,1102140C2,13,13,13,13,13,13,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Medicine-Primary/Orlando,Medicine-Primary,1102140M0,2,2,2,2,2,2,2,2,2,2,2,2
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Obstetrics-Gynecology/Orlando,Obstetrics-Gynecology,1102220C0,4,4,4,4,4,4,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Tampa,Obstetrics-Gynecology/Tampa,Obstetrics-Gynecology,1102220C1,3,3,3,3,0,0,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Orthopaedic Surgery,Orthopaedic Surgery,1102260C0,6,6,6,6,6,6,0,0,0,0,0,0
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Pediatrics,Pediatrics,1102320C0,12,12,12,12,6,6,6,6,6,6,6,6
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,Radiology-Diagnostic,Radiology-Diagnostic,1102420A0,4,4,4,4,4,4,4,4,4,4,4,4
Main,AdventHealth Florida,AdventHealth Florida,NOT,Orlando,Orlando,General Surgery/Orlando,General Surgery,1102440C0,6,6,4,4,4,4,4,4,4,4,4,4
